name,Price,has_meta
Supipara - Chapter 1 Spring Has Come!,5.24,0
Mystery Solitaire The Black Raven,4.99,0
Armored Brigade II,35.99,0
Hepta Beats,0.99,0
MUMBA IV: Egypt Jewels,0.59,0
OMNIMUS,0.99,0
Fantasy General II,13.99,1
"Forests, Fields and Fortresses",1.49,0
DogDogDog,1.35,0
Challenge from the Black Cat,1.4,0
Redline,1.04,0
Evertried,5.99,0
Zombie World,7.99,0
Bad North: Jotunn Edition,2.99,0
Lucky Night: Texas Hold'em VR,0.0,0
They Yearn For The Mines,5.99,0
Zooblies,1.99,0
COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,12.49,0
DrumKit VR - Play drum kit in the world of VR,4.99,0
Wizard Shrimp,2.99,0
Controller Sync,0.99,0
Epic Arena,0.0,0
Pixel Game Maker Series Werewolf Princess Kaguya,9.99,0
Spookstopia: Atomic Division,2.99,0
OPERATION TEMPLE,5.99,0
Fateless,0.0,0
MazeBot,0.0,0
The Metronomicon: Slay The Dance Floor,4.99,1
Virus at Home,2.99,0
Carnegie,9.99,0
Room Escape: Open Doors,3.49,0
Who is Paul,0.89,0
I fell from Grace,0.79,1
Evan's Remains,1.39,1
Seed of Pandora: Legend of the Gaia Tree,3.49,0
Zero-G Gunfight,2.49,0
Escape The Manor,0.99,0
Hey! Here are some letters,0.99,0
Simulators2021,1.99,0
Finding Fate,4.99,0
ENOH,4.99,0
Eastshade,9.99,1
Martha Madison: Simple Machines Volume 1,1.99,0
Shadow of the Tomb Raider: Definitive Edition,4.0,1
ARCHiTECTUS,9.99,0
New kind of adventure,0.99,0
Homing Instinct,3.59,0
Tales of Sintra: The Dark Vortex,7.49,0
Block Pieces - 3D Jigsaw Puzzle,1.99,0
Hole in Won,2.99,0
Museum No.9,4.99,0
POLAR,2.99,0
Geek Resort,4.99,0
Aeroplanoui,2.99,0
Chasing Tails ~A Promise in the Snow~,1.59,0
TIMEGAL HD-Remaster,14.99,0
Natsu no Sagashimono ~What We Found That Summer~,11.99,0
Touhou Bunkachou ～ Shoot the Bullet.,10.99,0
Infected Town,0.49,0
Sniper Ships: Shoot'em Up on Rails,1.39,0
BeeFender,0.99,0
Vole Complexity,1.99,0
Ragdoll Madness,2.49,0
The Deep Paths: Labyrinth Of Andokost,1.49,0
Cat Quest II,3.74,1
ConquestAreas,0.0,0
Time Warp Infinite,9.99,0
March of Industry: Very Capitalist Factory Simulator Entertainments,2.49,0
Grater,1.99,0
My Lands: Black Gem Hunting,0.0,0
Alone in the Dark: The New Nightmare,1.74,1
Dancing Hime: Rhythm Matching,6.99,0
Love and Fear,1.49,0
Foto Flash 2,2.99,0
Crash-Site: Conquest,4.99,0
Bhavacakra Grace,0.0,0
Darkness Under My Bed,1.19,0
What A Trash Game!,6.99,0
ReThink | Evolved 5,6.49,0
Gaijin Charenji 1 : Kiss or Kill,1.99,0
My Vet Practice,2.99,0
Escape: Underground,3.74,0
Fantasy Soul Revenge,0.69,0
The Mountain,1.49,0
欧派大作战,2.99,0
Car Crash X,2.99,0
Vexed Heroes,1.99,0
The Other Me,8.99,0
NIGHT FALLEN,0.89,0
Lost World,2.99,0
Wilderness,34.99,0
I commissioned some letters,1.19,0
Zeitz Machz √Rhapsody,0.0,0
Time Splatter,0.99,0
it's always monday,1.39,0
Nyasha Winter,0.49,0
Blood of Magic,9.99,0
Ticktock,0.99,0
Ice Cream Fantasy,0.49,0
Talewind,0.89,0
Synth Swinger,4.99,0
Nancy Drew®: Danger by Design,6.49,1
Desolation Tycoon,3.59,0
Waves Of Death VR,19.99,0
Gravity Ball,0.55,0
Miko Adventures Puffball,9.99,0
Rolling Macho:Tumbling to Earth,3.19,0
Cicadas - The IQA Edition,3.99,0
Soulestination,1.34,0
Amigo: Kebab Simulator,7.69,0
Kitchinko,1.99,0
RoomNo.404,2.09,0
Fear deeps,0.99,0
PAYDAY 3,14.99,1
The Legend of Azarias Rebirth,7.49,0
Take Care VR,4.99,0
Super Squidlit,2.39,0
最后四人-The last four,0.99,0
The Happy Hereafter,0.99,0
Dungeon's Legion,15.99,0
SHADE The Border Collie Flycatcher,0.6,0
Lips Breaker,0.99,0
NAL Is Alive,0.49,0
Happy Empire - A Bouquet for the Princess,4.99,0
Bingo VR,0.0,0
Jane Austen's 8-bit Adventure,1.49,0
Updive,4.99,0
Chickens Be Crazy,4.99,0
Undead Quest,0.98,0
Hexle,3.89,0
Reanimation Inc.,9.99,0
Gelluloid Domination,8.99,0
Doll Catching Simulator,0.0,0
True Game,7.99,0
Fuel Station Simulator,6.99,0
Mystic Space,1.49,0
panomap,2.49,0
Outgun,0.0,0
Heroic Armored Company,16.99,0
Area Cooperation Economic Simulation: North Korea (ACES),0.99,0
Last Heroes 4,0.99,0
灵界  Sprites（测试版）,5.99,0
Quest Master,14.99,0
Last Heroes 2,0.99,0
Frisbee For Fun,1.99,0
Jam Session VR,2.99,0
Slum Ball VR Tournament,14.99,0
Jingo,9.99,0
Skator Gator 3D,1.99,0
Gem Collector,1.19,0
MicroSStep,0.99,0
Presence Lookout,2.49,0
Alien Crusader,0.0,0
